id_gephi,description_n4_eng,x,y,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,closeness,eigenvector,weight,betweenness,group_eng,lat,node
364,Sora,21.89935684,-1.335044861,3,Zone 3,16,55,-73.450095,0.248046575,111213.5,106,106102,0.156616947,0.715461315,3030,0.001022479, Boyaca,5.566838,309
365,Zipaquira,12.45956993,-10.89422607,3,Zone 3,15,54,-73.990955,0.260012393,1215773,114,11416,0.163248429,0.645727496,130432,0.003277786, Cundinamarca,5.021476,519
366,Chiquiza,21.29028893,-0.657501221,3,Zone 3,16,45,-73.484992,0.23644094,118866.4,106,10664,0.153118213,0.587707343,5256,1.52E-04, Boyaca,5.605474,271
385,Nobsa,30.85492134,2.178863525,3,Zone 3,16,44,-72.9369789,0.23253325,262176.3,106,10621,0.149454876,0.513169787,16612,4.27E-04, Boyaca,5.767186,228
387,Velez,18.0287571,6.424331665,3,Zone 3,15,37,-73.671864,0.230087297,186875.9,127,12725,0.156443176,0.296412843,18808,0.015068561, Santander,6.00915,911
388,Chipata,18.63377571,7.345153809,3,Zone 3,15,22,-73.637199,0.217280732,56839.5,127,12756,0.154411765,0.124137049,5052,0.004427518, Santander,6.061617,942
406,Turmeque,21.16544724,-5.592445374,3,Zone 3,16,52,-73.4921449,0.242052637,142358.4,106,10662,0.151241189,0.713593151,5662,1.94E-04, Boyaca,5.324008,269
415,Togüi,20.73635674,-4.425102234,3,Zone 3,16,60,-73.51673,0.248286052,149030.2,106,10673,0.152009857,0.802563968,4818,4.26E-04, Boyaca,5.3906,280
420,Tota,30.00040817,-1.449134827,3,Zone 3,16,25,-72.985939,0.207214383,67559.6,106,10666,0.141485092,0.222695193,5224,0.013962384, Boyaca,5.560332,273
422,Floresta,31.16773605,3.795684814,3,Zone 3,16,32,-72.919056,0.217285385,80010.4,106,10682,0.142919201,0.332069857,4333,7.97E-05, Boyaca,5.859347,289
423,Tuta,25.81077957,0.840629578,3,Zone 3,16,67,-73.225987,0.255825077,284871.4,106,10634,0.15756705,0.794639946,9916,0.007696385, Boyaca,5.690894,241
424,Sotaquira,25.45160866,2.146125793,3,Zone 3,16,62,-73.246566,0.253123287,197946.7,106,10649,0.157416268,0.740086924,7224,0.005264512, Boyaca,5.76532,256
431,Tausa,14.28193951,-7.832870483,3,Zone 3,16,42,-73.8865409,0.243340792,237173.4,114,11481,0.153930131,0.504505581,9197,9.85E-04, Cundinamarca,5.196182,584
434,Santa Sofia,19.24692726,1.245223999,3,Zone 3,15,49,-73.602068,0.240714644,76877.2,106,106109,0.156492786,0.558123131,2552,7.91E-04, Boyaca,5.713961,316
